_id,OBJECTID,CartID,BikeFacilityType,MSAG_Name,ProjectName,Jurisdiction,District,Length,MaintenanceResponsibility,Status,FacilityName,Comments,Shape__Length
455,455,BF_313002786,Bike Lane,ASHLEY RD,Unknown,San Antonio,3,406.75014997,COSA - Public Works Dept,Active,Ashley from Pleasanton to Flores,None,406.750149971489
456,456,BF_313001628,Route,HAYS ST,Unknown,San Antonio,2,1119.80588442,COSA - Public Works Dept,Active,Hays St from N Mesquite St to N Onslow St,None,1119.80588442673
457,457,BF_313003662,Bike Lane,S SAN JOAQUIN,Unknown,San Antonio,5,186.19642284,COSA - Public Works Dept,Active,S San Joaquin from Old US Hwy 90 W to Eldridge Ave,None,186.196422848704
458,458,BF_313002901,Bike Lane,WATERS EDGE DR,Unknown,San Antonio,6,33.31378184,COSA - Public Works Dept,Active,Waters Edge Dr from Ingram Rd to SW Loop 410 Access Rd,None,33.3137818486625
459,459,BF_313000340,Bike Lane,DEER CREST,Unknown,San Antonio,9,602.19377909,COSA - Public Works Dept,Active,Deer Crest from Blanco Rd to Huebner Rd,None,602.193779095409
460,460,BF_313000050,Bike Lane,RIDGE COUNTRY,Unknown,San Antonio,10,183.6146598,COSA - Public Works Dept,Active,Ridge Country from Stoney Summit to Wetmore Rd,None,183.614659807248
461,461,BF_313001835,Bike Lane,S MAIN AVE,Unknown,San Antonio,5,315.12420773,COSA - Public Works Dept,Active,S Main Ave from Arsenal to S Alamo St,None,315.124207737735
462,462,BF_313001540,Route,DONALDSON AVE,Unknown,San Antonio,7,227.99400282,COSA - Public Works Dept,Active,Donaldson Ave from N Elmendorf to E Quill Dr,None,227.994002823759
463,463,BF_313004124,Multi Use Path,W HAUSMAN RD,40-00420 Hausman Road Loop 1604 to IH 10,San Antonio,8,446.93979653,COSA - Public Works Dept,Active,W Hausman Rd from N Loop 1604 W Access Rd to University Hts,None,446.939796534129
464,464,BF_313002512,Route,PEREIDA ST,Unknown,San Antonio,1,463.87511506,COSA - Public Works Dept,Active,S Alamo St_Pereida St from Probandt St to S Presa St,None,463.875115063594
465,465,BF_313004302,Bike Lane,CULEBRA RD,Unknown,San Antonio,6,847.2229159,COSA - Public Works Dept,Active,Culebra Rd from Grissom Rd to NW Loop 410,None,847.222915902567
466,466,BF_313000032,Bike Lane,BELL DR,Unknown,San Antonio,10,321.60788826,COSA - Public Works Dept,Active,Bell Dr from Stahl Rd to Uhr Lane,None,321.607888267994
467,467,BF_313000125,Route,W MARTIN ST,Unknown,San Antonio,1,188.79559517,COSA - Public Works Dept,Active,W Martin St from N Flores St to N Medina,None,188.795595175437
